dir,n_contigs,total_bp,n_genes,coverage
SRR2584857.10C_annot,656,4480425,4224,10
SRR2584857.11C_annot,472,4507023,4224,11
SRR2584857.12C_annot,356,4517755,4208,12
SRR2584857.13C_annot,268,4529706,4209,13
SRR2584857.14C_annot,219,4532924,4205,14
SRR2584857.15C_annot,184,4535580,4203,15
SRR2584857.16C_annot,164,4536486,4204,16
SRR2584857.17C_annot,149,4534656,4202,17
SRR2584857.18C_annot,154,4534818,4206,18
SRR2584857.19C_annot,148,4538871,4205,19
SRR2584857.1C_annot,448,6220,101,1
SRR2584857.20C_annot,145,4539701,4206,20
SRR2584857.21C_annot,134,4539743,4206,21
SRR2584857.22C_annot,133,4540417,4206,22
SRR2584857.23C_annot,129,4541577,4207,23
SRR2584857.24C_annot,127,4539502,4206,24
SRR2584857.25C_annot,133,4539554,4202,25
SRR2584857.26C_annot,139,4539304,4201,26
SRR2584857.27C_annot,129,4541101,4202,27
SRR2584857.28C_annot,126,4541625,4204,28
SRR2584857.29C_annot,128,4539505,4202,29
SRR2584857.2C_annot,2502,66467,1157,2
SRR2584857.30C_annot,129,4539618,4208,30
SRR2584857.31C_annot,134,4538167,4201,31
SRR2584857.32C_annot,131,4540155,4201,32
SRR2584857.33C_annot,135,4539777,4207,33
SRR2584857.34C_annot,134,4540042,4202,34
SRR2584857.35C_annot,127,4538954,4207,35
SRR2584857.36C_annot,126,4539610,4205,36
SRR2584857.37C_annot,131,4539424,4206,37
SRR2584857.38C_annot,124,4539798,4205,38
SRR2584857.39C_annot,131,4538932,4202,39
SRR2584857.3C_annot,4135,511006,2385,3
SRR2584857.40C_annot,128,4539736,4204,40
SRR2584857.4C_annot,4357,1458742,3305,4
SRR2584857.5C_annot,3715,2589946,3874,5
SRR2584857.6C_annot,2798,3457312,4112,6
SRR2584857.7C_annot,1962,4006416,4207,7
SRR2584857.8C_annot,1386,4294075,4247,8
SRR2584857.9C_annot,968,4423982,4252,9
